month;date;year;m0;m5;m10;m15;m25;m50;m65
1;19;1979;-0,1;-0,4;-0,5;-0,5;-0,5;-0,5;-0,5
2;15;1979;-0,8;-1,2;-1,2;-1,2;-1,2;-1,2;-1,2
3;19;1979;-0,4;-1,3;-1,3;-1,3;-0,9;-0,5;-0,4
4;16;1979;-0,4;-1,2;-1,3;-1,1;-0,8;-0,5;-0,5
5;15;1979;0,2;-0,5;-0,8;-0,7;-0,5;-0,5;-0,5
5;22;1979;2,8;0,7;-0,4;-0,7;-0,7;-0,7;-0,7
5;30;1979;4,8;3,8;0;-0,5;-0,7;-0,7;-0,7
6;11;1979;6;5,8;0,1;-0,6;-0,7;-0,8;-0,8
6;21;1979;9,5;7,3;7;4,5;1,1;-0,6;-0,6
7;1;1979;14,2;5,8;3,8;2,5;0,8;-0,5;-0,5
7;10;1979;15,8;12,2;10,4;5;1,5;-0,5;-0,5
7;20;1979;15,2;14,4;13,1;9,5;4,5;-0,1;-0,2
7;30;1979;15,2;14;12,4;8;2,3;-0,3;-0,3
8;9;1979;13,9;13,9;13,9;13,8;1,3;0;0
8;20;1979;14,4;13;9,6;7;4,1;0,5;0,4
8;30;1979;12,4;12,4;12,4;12,4;4;1,1;1,1
9;10;1979;10,5;7;5;3;1,3;-0,1;-0,2
9;20;1979;8,6;8,4;7,4;6,6;5,5;1,1;0,9
10;1;1979;7,3;7,3;7,3;7,2;5,5;0,9;0,8
10;10;1979;5,2;5,3;5,3;5,3;2,6;0,5;0,3
10;20;1979;3;3;3,2;3,3;2,8;1;0,9
10;31;1979;2;2,5;2,7;2,8;2,3;0,6;0,5
11;11;1979;1;1,2;1,5;1,7;2,2;1,3;1,3
11;21;1979;1,4;1,5;1,6;1,7;1,8;1,9;1,9
11;29;1979;-0,1;0;0,4;0,5;0,5;1,9;1,9
12;11;1979;-1,3;-1,3;-1,3;-1,3;-1,3;1;1
2;2;1980;-1;-1;-1;-0,7;-0,3;0;0
2;15;1980;-1,1;-1,2;-1,4;-1,5;-0,7;-0,1;-0,1
3;3;1980;-1;-1;-1;-0,8;-0,5;-0,1;0
3;19;1980;-1;-1;-1;-0,5;-0,2;-0,2;-0,2
4;10;1980;-0,8;-1;-1,1;-1;-0,7;-0,2;-0,2
4;21;1980;-1,2;-1,3;-1;-0,8;-0,3;-0,2;-0,2
4;29;1980;-0,2;-0,7;-0,4;-0,3;-0,3;-0,3;-0,3
5;20;1980;2,2;1,6;0,5;-0,2;-0,5;-0,6;-0,6
5;30;1980;6,4;5,2;2,8;1,4;0,1;-0,4;-0,4
6;11;1980;11,2;10,7;8,8;5;0,8;-0,2;-0,2
6;20;1980;13,3;11;8,2;3,6;0,2;-0,4;-0,4
6;29;1980;12,7;12,7;12,2;9;2,5;-0,2;-0,2
7;10;1980;14;13,6;13,2;12;3,8;0,3;0,3
7;21;1980;14,1;14,1;13,5;13;9,5;0,7;0,7
7;30;1980;16;15,7;14,7;12,4;6;1;0,9
8;11;1980;13,6;13,5;13,5;13,5;13,4;1,4;1
8;20;1980;14,7;14,6;14,1;13,6;10,2;1,6;1,2
8;28;1980;12,8;13,1;13,1;13,1;6,5;0,6;0,4
9;11;1980;11,2;11,2;11,1;10,6;5,8;1,5;1,5
9;21;1980;11,1;11,3;11,3;11,3;7,5;1,8;1,6
10;1;1980;8;8;4;2,7;1,5;0,5;0,5
10;11;1980;5,6;5,6;5,5;5,2;4,2;1,5;1,5
10;20;1980;5,7;5,7;5,6;5,5;5;1,4;1,2
11;1;1980;3;3;3;3;3;1,7;1,4
11;10;1980;1,7;1,7;1,7;1,7;1,7;0,1;0,1
11;19;1980;-0,6;0,1;0,3;0,8;0,9;0,2;0,1
11;28;1980;-1,4;-1,4;-1,4;-1,4;-1,4;0,3;0,4
2;12;1981;-1,2;-1,3;-1,2;-1,1;-0,3;0,1;0,1
3;2;1981;-1,2;-1,2;-1,2;-1,2;-0,6;-0,2;-0,4
3;20;1981;-1,2;-1,2;-1,2;-1,2;-0,6;-0,2;-0,3
5;13;1981;-0,6;-0,3;-0,5;-0,7;-0,9;-0,9;-0,9
6;10;1981;8,2;5;1,8;0,6;-0,2;-0,9;-0,9
6;20;1981;8;7,5;5,5;4,6;0,7;-0,5;0
6;29;1981;12,8;10;6;5,2;3,9;0,5;0,2
7;10;1981;14,4;11,5;9,8;7,2;4,2;1,2;1,2
7;20;1981;12,7;13;8;5,8;4,3;0,8;0,7
8;1;1981;14,6;14,3;12,4;8,6;5,4;1,8;1,6
8;11;1981;13,8;14,2;13,9;12;4;0;0
8;20;1981;11,2;9;5,6;4;2,5;0,8;0,7
8;31;1981;10,6;10,6;10,6;10,6;5,2;2,2;2,1
9;10;1981;9,6;10;10,2;10,2;9;2;1,6
9;21;1981;7,5;8,8;8,6;7,3;3,4;1,4;1,3
9;29;1981;6,7;6,6;6,6;6,2;5;1,2;1
10;10;1981;7;7,1;7,2;6,8;5,2;1,7;1,6
10;21;1981;4,5;4,5;5;6;5,8;2,8;2,4
10;29;1981;4,2;4,3;4,3;4,8;4,6;2,4;2,2
11;11;1981;2,8;2,8;2,9;3;3,5;2,7;2,1
11;21;1981;2,1;2,1;2,2;3,2;3,2;1,5;1,1
11;30;1981;0,6;0,7;1,5;1,7;1,9;2;2,1
12;10;1981;0;0,1;0,1;0,1;0,1;0,2;0,3
12;20;1981;-1,2;-1,2;-1,2;-1,1;-0,1;0,9;0,9
1;7;1982;-0,6;-0,9;-1,1;-1;0,4;-0,6;-0,7
1;31;1982;-0,8;-0,2;-0,1;-0,3;0,1;0,3;0,3
2;16;1982;-0,5;-0,5;-0,5;-0,7;-0,3;0;0
3;15;1982;-0,6;-0,6;-0,7;-0,2;-0,1;-0,6;-0,6
3;31;1982;-0,4;-0,9;-0,9;-1,2;-1,2;-0,4;-0,4
4;9;1982;-0,4;-0,9;-0,9;-1,1;-0,9;-0,5;-0,5
4;15;1982;-0,5;-0,9;-1,1;-1,2;-1;-0,5;-0,5
4;20;1982;-0,4;-0,7;-1,1;-1,1;-1;-0,5;-0,5
4;30;1982;0,1;-0,4;-0,7;-0,9;-0,9;-0,6;-0,6
5;20;1982;3,7;0,9;0,4;-0,1;-0,6;-0,8;-0,8
5;30;1982;4,3;4,1;2,5;0,3;-0,5;-0,7;-0,7
6;10;1982;5,4;5,4;5,4;2,5;0,5;-0,7;-0,8
6;20;1982;6,8;4,3;2,5;1,4;0,1;-0,7;-0,8
7;1;1982;11;7;5;2,1;1,2;0,1;0
7;10;1982;12,9;12,3;7,5;5,5;3,6;1;0,4
7;21;1982;12,5;11;4,3;3;1,2;0,3;0,3
7;30;1982;13,8;13,7;10;4;2;0,5;0,4
8;10;1982;12,2;7;4,6;2,2;1,5;0,1;0
8;20;1982;11,3;10,4;10,2;9,9;6,6;2,1;1,8
8;30;1982;11,2;11,2;10,8;10;7,2;1,8;1,8
9;10;1982;9,9;9,9;9,9;9,1;3,2;0,4;0,3
9;21;1982;7,9;7,8;7,7;4;2,1;1,3;1,3
9;30;1982;6,1;6,2;6;4,2;2,9;1,5;1,4
10;10;1982;5,3;5,3;5,3;4,8;3,9;2,1;2
10;20;1982;2,5;3,7;3,8;3,9;3,9;2,7;2,5
10;30;1982;2,8;2,8;2,9;3;3,8;2,3;2,1
11;11;1982;1,6;1,6;1,6;1,6;2,1;0,8;0,5
11;20;1982;1,5;2,2;2,3;2,1;2;1,1;1,1
11;29;1982;1,6;1,6;1,6;1,7;2,5;1,9;1,9
12;9;1982;0,2;0,2;0,2;0,5;0,7;1,8;1,7
2;17;1983;-0,6;-0,7;-0,8;-0,9;-0,5;-0,5;-0,5
3;16;1983;-0,6;-0,7;-0,7;-0,7;-0,5;0,1;0,1
3;31;1983;-0,8;-0,8;-0,9;-0,9;-0,5;-0,4;-0,4
4;11;1983;-0,5;-0,8;-1,1;-1,1;-1;-0,5;-0,5
4;21;1983;-0,2;-1;-1,2;-1,3;-1,3;-0,7;-0,6
5;19;1983;3,8;3,6;2,2;1,6;0,8;-0,5;-0,6
5;29;1983;5,2;3,1;2,2;1,6;0,8;-0,5;-0,6
6;9;1983;10,4;5;4;2,7;0,8;-0,6;-0,6
6;20;1983;11,6;10,9;9,2;7,4;2;-0,3;-0,3
6;29;1983;12,8;5;2,4;1;0,1;-0,6;-0,6
7;11;1983;16;13;5,2;3,4;0,7;-0,3;-0,3
7;20;1983;14,4;9,5;3,5;1,8;0,8;0;-0,1
7;30;1983;12,6;11,2;7;3;1;0;0
8;11;1983;13,4;12;8,5;5;1;0,1;0
8;19;1983;12,3;12,5;11,2;5;1,5;0,3;0,2
9;2;1983;8,6;8,6;7;5,3;2,4;0,3;0,2
9;11;1983;7;6,9;6,3;4;2,2;1,3;0,9
9;21;1983;7,1;7,1;6,6;6;5;2,3;2,3
10;2;1983;6,8;7;7;7;7;3,5;3
10;10;1983;6;6;5,8;5,3;4,6;1,8;1,7
10;20;1983;5,2;5,3;5,5;5,5;5,2;3,6;3,1
10;30;1983;3,6;3,6;3,7;3,8;4;3,9;3
11;5;1983;3,2;3,2;3,3;3,3;3,5;2,8;2,7
11;16;1983;1,4;1,4;1,4;1,4;1,9;2,2;2,1
1;12;1984;-0,6;-1;-1,1;-1,1;-1,1;-0,9;-0,9
3;15;1984;-0,6;-1,1;-1;-0,5;-0,3;-0,7;-0,8
3;30;1984;-0,8;-1;-0,8;-0,6;-0,6;-0,6;-0,6
4;10;1984;-0,8;-1,2;-1;-0,7;-0,8;-0,6;-0,6
4;20;1984;-0,8;-1,1;-1;-0,7;-0,7;-0,6;-0,6
4;29;1984;0,4;-0,5;-0,5;-0,4;-0,8;-0,9;-0,9
5;10;1984;0,6;0,9;0,4;-0,1;-0,7;-0,9;-0,9
5;21;1984;7,4;3,5;1;-0,3;-0,8;-0,9;-0,9
5;31;1984;15;11,5;5;1;-0,5;-0,9;-0,9
6;9;1984;11,2;11;10;4,5;0,2;-0,7;-0,7
6;20;1984;13,2;6,5;2;0,6;-0,3;-0,8;-0,8
6;30;1984;14,6;14;11,4;9,8;2,5;-0,2;-0,3
