month,date,year,m0,m5,m10,m15,m25,m50,m65
1,14,1965,-1.4,-1.4,-1.4,-1.4,-1.4,-0.5,-0.4
1,26,1965,-1.3,-1.3,-1.3,-1.3,-1.3,-0.7,-0.6
1,31,1965,-1.2,-1.3,-1.3,-1.3,-1.2,-0.7,-0.6
2,10,1965,-1.1,-1.1,-1.1,-1,-0.9,-0.2,-0.1
2,19,1965,-1,-1.1,-1.1,-1,-0.7,-0.2,-0.2
3,1,1965,-0.7,-1.1,-1.1,-1,-0.3,-0.6,-0.7
3,10,1965,-1,-1.1,-1.1,-1.1,-0.8,-0.6,-0.6
3,20,1965,-1.1,-1.1,-1.1,-1,-0.6,-0.6,-0.6
3,31,1965,-1,-1.1,-1.2,-1.1,-0.7,-0.6,-0.7
4,10,1965,-1,-1.1,-1.2,-1.1,-0.8,-0.7,-0.8
4,20,1965,0.3,-1.2,-1.2,-1.1,-0.8,-0.8,-0.8
4,29,1965,0.5,-1.5,-1,-0.9,-0.8,-0.9,-0.9
5,12,1965,4.4,0.4,-0.5,-0.8,-0.9,-1,-1
5,21,1965,2.1,1.7,1,-0.7,-0.9,-1.1,-1.2
5,31,1965,5.3,4.4,1.6,0.4,-0.8,-1,-1
6,10,1965,8.8,2.3,0.3,-0.3,-0.8,-1,-1
6,20,1965,9.6,7.3,4,1.2,-0.4,-0.9,-1
6,30,1965,11.3,9.3,3.3,2.1,0.6,-0.6,-0.7
7,10,1965,9.2,8.6,2.8,1.1,-0.1,-0.7,-0.7
7,21,1965,12.8,11.7,11,8.5,1.2,-0.3,-0.5
7,31,1965,12.1,12,10.3,6.9,1.6,0,-0.2
8,10,1965,12.8,12.7,11.8,11.6,9.5,1.8,1.6
8,20,1965,12.2,11.7,11.8,12,3,0,-0.1
8,30,1965,12.4,11.8,10.6,7.4,3.5,0.8,0.8
9,10,1965,11,11,8.6,5.9,4.3,2.3,2.2
9,21,1965,8.1,8.2,8.6,8.6,8.6,5.2,5
10,2,1965,7.9,7.9,8,8,8,4.1,4
10,12,1965,6.6,6.5,6.5,6.5,6.4,2.1,1.9
10,20,1965,3.9,4.5,4.5,4.6,4.7,2.6,2.5
10,30,1965,3.8,3.8,3.8,3.4,2.6,0.9,0.8
11,10,1965,2.6,2.1,2.7,2.7,2.8,1.8,1.8
11,20,1965,0.6,0.7,0.7,0.7,0.7,2.3,2.4
12,21,1965,-0.5,-0.6,-0.6,-0.6,-0.3,0.2,0.1
12,29,1965,-0.2,-0.6,-1,-1,-1,-0.4,-0.2
